,layer_n,rep,story1,story2,story3,story_merged,condition
21,2,2,Bacteria has built up such a resistance to antibiotics they barely work anymore. Drug companies do not spend time developing new antibiotics because of this. If it is not under control by 2050 more than ten million people will die per year due to infections.,"For most of human history, the diseases that are now most commonly fatal, like heart disease and cancer, weren't how people died. People died before those could happen, for example due to infection from injury. Eventually, due to modern medicine and antibiotics, infections that used to kill people no longer did. But now because of antibiotic resistance, people are again dying of infections at higher rates. This antibiotic resistance could be prevented or slowed if we use them less, for example when it's not entirely necessary or in cases where we're not sure what the right antibiotic would be anyway. ","In the past people don't die because of cancer or another dangerous stuff simply because they were dying to early, almost young. Later this was changed after scientist discovered and began to use antibiotics. But later bacterias developed resistance to  antibiotics. So antibiotics help much less than in the beginning. To resolve this problem we have to use antibiotics much less, especially do not use chicken and other kind of meat raised by using antibiotics.","Antibiotics were developed to help eradicate disease and cure bacterial infections. That's a good thing. But, overuse of antibiotics over the years, through personal prescriptions and use in food products, has caused the opposite outcome. Bacteria has now become resistant to antibiotics due to overuse. What was once a positive discovery has now become a negative.",Multiple-pathway
22,2,2,Bacteria has built up such a resistance to antibiotics they barely work anymore. Drug companies do not spend time developing new antibiotics because of this. If it is not under control by 2050 more than ten million people will die per year due to infections.,"For most of human history, the diseases that are now most commonly fatal, like heart disease and cancer, weren't how people died. People died before those could happen, for example due to infection from injury. Eventually, due to modern medicine and antibiotics, infections that used to kill people no longer did. But now because of antibiotic resistance, people are again dying of infections at higher rates. This antibiotic resistance could be prevented or slowed if we use them less, for example when it's not entirely necessary or in cases where we're not sure what the right antibiotic would be anyway. ","In the past people don't die because of cancer or another dangerous stuff simply because they were dying to early, almost young. Later this was changed after scientist discovered and began to use antibiotics. But later bacterias developed resistance to  antibiotics. So antibiotics help much less than in the beginning. To resolve this problem we have to use antibiotics much less, especially do not use chicken and other kind of meat raised by using antibiotics.","Bacteria has now been proven to resist the effects of antibiotics. This has led to more people dying of infections in the recent years. When antibiotics were first developed, many people die from other causes like heart disease and cancer. But now, infections are causing a higher mortality rate.",Multiple-pathway
23,2,2,Bacteria has built up such a resistance to antibiotics they barely work anymore. Drug companies do not spend time developing new antibiotics because of this. If it is not under control by 2050 more than ten million people will die per year due to infections.,"For most of human history, the diseases that are now most commonly fatal, like heart disease and cancer, weren't how people died. People died before those could happen, for example due to infection from injury. Eventually, due to modern medicine and antibiotics, infections that used to kill people no longer did. But now because of antibiotic resistance, people are again dying of infections at higher rates. This antibiotic resistance could be prevented or slowed if we use them less, for example when it's not entirely necessary or in cases where we're not sure what the right antibiotic would be anyway. ","In the past people don't die because of cancer or another dangerous stuff simply because they were dying to early, almost young. Later this was changed after scientist discovered and began to use antibiotics. But later bacterias developed resistance to  antibiotics. So antibiotics help much less than in the beginning. To resolve this problem we have to use antibiotics much less, especially do not use chicken and other kind of meat raised by using antibiotics.",People used to die from things like infections until antibiotics were created. But now because of the overuse of them we are become resistant to antibiotics and if this continues and nothing is changes people will again start dying from things like infections. ,Multiple-pathway
24,3,2,"Antibiotics were developed to help eradicate disease and cure bacterial infections. That's a good thing. But, overuse of antibiotics over the years, through personal prescriptions and use in food products, has caused the opposite outcome. Bacteria has now become resistant to antibiotics due to overuse. What was once a positive discovery has now become a negative.","Bacteria has now been proven to resist the effects of antibiotics. This has led to more people dying of infections in the recent years. When antibiotics were first developed, many people die from other causes like heart disease and cancer. But now, infections are causing a higher mortality rate.",People used to die from things like infections until antibiotics were created. But now because of the overuse of them we are become resistant to antibiotics and if this continues and nothing is changes people will again start dying from things like infections. ,"Antibiotics were a revolutionary development because they rid people of bacterial diseases. But now, we're prescribing and using antibiotics too much. Bacteria are becoming increasingly resistant to antibiotics. This may lead to people getting sicker and even dying. ",Multiple-pathway
25,3,2,"Antibiotics were developed to help eradicate disease and cure bacterial infections. That's a good thing. But, overuse of antibiotics over the years, through personal prescriptions and use in food products, has caused the opposite outcome. Bacteria has now become resistant to antibiotics due to overuse. What was once a positive discovery has now become a negative.","Bacteria has now been proven to resist the effects of antibiotics. This has led to more people dying of infections in the recent years. When antibiotics were first developed, many people die from other causes like heart disease and cancer. But now, infections are causing a higher mortality rate.",People used to die from things like infections until antibiotics were created. But now because of the overuse of them we are become resistant to antibiotics and if this continues and nothing is changes people will again start dying from things like infections. ,"Antibiotics were developed to fight infections. However, overuse of antibiotics has made bacteria resistant to antibiotics. People  may become more likely to die of infections due to the very thing that was supposed to cure them. ",Multiple-pathway
26,3,2,"Antibiotics were developed to help eradicate disease and cure bacterial infections. That's a good thing. But, overuse of antibiotics over the years, through personal prescriptions and use in food products, has caused the opposite outcome. Bacteria has now become resistant to antibiotics due to overuse. What was once a positive discovery has now become a negative.","Bacteria has now been proven to resist the effects of antibiotics. This has led to more people dying of infections in the recent years. When antibiotics were first developed, many people die from other causes like heart disease and cancer. But now, infections are causing a higher mortality rate.",People used to die from things like infections until antibiotics were created. But now because of the overuse of them we are become resistant to antibiotics and if this continues and nothing is changes people will again start dying from things like infections. ,That illness have existed for years and more people use to die from them until Antibiotics were invented.  Once that happened less people died but now there are superbugs because our bodies are use to the Antibiotics and the illnesses aren't going away now. ,Multiple-pathway
27,4,2,That illness have existed for years and more people use to die from them until Antibiotics were invented.  Once that happened less people died but now there are superbugs because our bodies are use to the Antibiotics and the illnesses aren't going away now. ,"Antibiotics were a revolutionary development because they rid people of bacterial diseases. But now, we're prescribing and using antibiotics too much. Bacteria are becoming increasingly resistant to antibiotics. This may lead to people getting sicker and even dying. ","Antibiotics were developed to fight infections. However, overuse of antibiotics has made bacteria resistant to antibiotics. People  may become more likely to die of infections due to the very thing that was supposed to cure them. ",This article is about antibiotics and its development. Antibiotics are also leads to people sick. It helps to prevent from infections. ,Multiple-pathway
28,4,2,That illness have existed for years and more people use to die from them until Antibiotics were invented.  Once that happened less people died but now there are superbugs because our bodies are use to the Antibiotics and the illnesses aren't going away now. ,"Antibiotics were a revolutionary development because they rid people of bacterial diseases. But now, we're prescribing and using antibiotics too much. Bacteria are becoming increasingly resistant to antibiotics. This may lead to people getting sicker and even dying. ","Antibiotics were developed to fight infections. However, overuse of antibiotics has made bacteria resistant to antibiotics. People  may become more likely to die of infections due to the very thing that was supposed to cure them. ",Super bug are becoming a hard reality. They have become resistant to anti bacterial medicines that we have created to fight them. They become stronger and harder to kill. Making humans more likely to get sick,Multiple-pathway
29,4,2,That illness have existed for years and more people use to die from them until Antibiotics were invented.  Once that happened less people died but now there are superbugs because our bodies are use to the Antibiotics and the illnesses aren't going away now. ,"Antibiotics were a revolutionary development because they rid people of bacterial diseases. But now, we're prescribing and using antibiotics too much. Bacteria are becoming increasingly resistant to antibiotics. This may lead to people getting sicker and even dying. ","Antibiotics were developed to fight infections. However, overuse of antibiotics has made bacteria resistant to antibiotics. People  may become more likely to die of infections due to the very thing that was supposed to cure them. ","Bacteria has always been a part of life. For millions of years, bacteria have cohabited with living things, using us to perpetuate their own existence. Unfortunately, some of these bacteria aren't that great for us, and, can even kill us.    Enter, antibiotics.   Antibiotics have been used now for many decades to help kill of harmful bacteria, but, at what cost? As we continue our war against bacteria they are fighting back as well, and becoming resistant. Antibiotic resistance becomes a very real threat in our world as they become over prescribed for things that your body should be able to fight off itself. As we look to the future, we should look for others ways to abate bacterial ailments using treatments other than antibiotics. ",Multiple-pathway
30,5,2,This article is about antibiotics and its development. Antibiotics are also leads to people sick. It helps to prevent from infections. ,Super bug are becoming a hard reality. They have become resistant to anti bacterial medicines that we have created to fight them. They become stronger and harder to kill. Making humans more likely to get sick,"Bacteria has always been a part of life. For millions of years, bacteria have cohabited with living things, using us to perpetuate their own existence. Unfortunately, some of these bacteria aren't that great for us, and, can even kill us.    Enter, antibiotics.   Antibiotics have been used now for many decades to help kill of harmful bacteria, but, at what cost? As we continue our war against bacteria they are fighting back as well, and becoming resistant. Antibiotic resistance becomes a very real threat in our world as they become over prescribed for things that your body should be able to fight off itself. As we look to the future, we should look for others ways to abate bacterial ailments using treatments other than antibiotics. ","Antibiotics are important in our fight to stay healthy. Unfortunately, the overprescription of antibiotics has led to bacteria that have become resistant. It is necessary for mankind to come up with new ways of treating bacterial infections besides the use of antibiotics.",Multiple-pathway
31,5,2,This article is about antibiotics and its development. Antibiotics are also leads to people sick. It helps to prevent from infections. ,Super bug are becoming a hard reality. They have become resistant to anti bacterial medicines that we have created to fight them. They become stronger and harder to kill. Making humans more likely to get sick,"Bacteria has always been a part of life. For millions of years, bacteria have cohabited with living things, using us to perpetuate their own existence. Unfortunately, some of these bacteria aren't that great for us, and, can even kill us.    Enter, antibiotics.   Antibiotics have been used now for many decades to help kill of harmful bacteria, but, at what cost? As we continue our war against bacteria they are fighting back as well, and becoming resistant. Antibiotic resistance becomes a very real threat in our world as they become over prescribed for things that your body should be able to fight off itself. As we look to the future, we should look for others ways to abate bacterial ailments using treatments other than antibiotics. ","Bacteria has been around forever, coexisting with other living things. Some bacteria is good, but some is harmful to humans. Along came antibiotics to help kill off bacteria that make humans sick. Antibiotics are relatively effective but over many decades bacteria have started to become resistant to them and they have become ineffective. We need to find a way for our bodies to naturally fight off bacteria so that we are not reliant on antibiotics.",Multiple-pathway
32,5,2,This article is about antibiotics and its development. Antibiotics are also leads to people sick. It helps to prevent from infections. ,Super bug are becoming a hard reality. They have become resistant to anti bacterial medicines that we have created to fight them. They become stronger and harder to kill. Making humans more likely to get sick,"Bacteria has always been a part of life. For millions of years, bacteria have cohabited with living things, using us to perpetuate their own existence. Unfortunately, some of these bacteria aren't that great for us, and, can even kill us.    Enter, antibiotics.   Antibiotics have been used now for many decades to help kill of harmful bacteria, but, at what cost? As we continue our war against bacteria they are fighting back as well, and becoming resistant. Antibiotic resistance becomes a very real threat in our world as they become over prescribed for things that your body should be able to fight off itself. As we look to the future, we should look for others ways to abate bacterial ailments using treatments other than antibiotics. ","The article tells about the antibiotics and development.  It indicates that the antibodies are the reason for the sickness.  In or day to daylife, we met a lot of bacteria in whichthe most of the bacteria are harmful for us.   Even some of the bacteria may kill us.  Antibiotics have been used to kill the antibodies like bacteria.    Recently superbug are becoming a hard reality.  They are stronger and harder to kill.",Multiple-pathway
33,6,2,"Antibiotics are important in our fight to stay healthy. Unfortunately, the overprescription of antibiotics has led to bacteria that have become resistant. It is necessary for mankind to come up with new ways of treating bacterial infections besides the use of antibiotics.","Bacteria has been around forever, coexisting with other living things. Some bacteria is good, but some is harmful to humans. Along came antibiotics to help kill off bacteria that make humans sick. Antibiotics are relatively effective but over many decades bacteria have started to become resistant to them and they have become ineffective. We need to find a way for our bodies to naturally fight off bacteria so that we are not reliant on antibiotics.","The article tells about the antibiotics and development.  It indicates that the antibodies are the reason for the sickness.  In or day to daylife, we met a lot of bacteria in whichthe most of the bacteria are harmful for us.   Even some of the bacteria may kill us.  Antibiotics have been used to kill the antibodies like bacteria.    Recently superbug are becoming a hard reality.  They are stronger and harder to kill.","Humans have coexisted with bacteria for centuries and developed ways to kill off harmful bacteria. However, good bacteria is also being killed off and as a result human resistance to bacteria is weakening. Reliance on antibiotics is the main cause for this occurrence.",Multiple-pathway
34,6,2,"Antibiotics are important in our fight to stay healthy. Unfortunately, the overprescription of antibiotics has led to bacteria that have become resistant. It is necessary for mankind to come up with new ways of treating bacterial infections besides the use of antibiotics.","Bacteria has been around forever, coexisting with other living things. Some bacteria is good, but some is harmful to humans. Along came antibiotics to help kill off bacteria that make humans sick. Antibiotics are relatively effective but over many decades bacteria have started to become resistant to them and they have become ineffective. We need to find a way for our bodies to naturally fight off bacteria so that we are not reliant on antibiotics.","The article tells about the antibiotics and development.  It indicates that the antibodies are the reason for the sickness.  In or day to daylife, we met a lot of bacteria in whichthe most of the bacteria are harmful for us.   Even some of the bacteria may kill us.  Antibiotics have been used to kill the antibodies like bacteria.    Recently superbug are becoming a hard reality.  They are stronger and harder to kill.","Antibiotics have been killing harmful bacteria for a long time now, however, they are becomming resistant to our antibiotics. If this were to happen we would not be able to save all who would have normally been saved from mild to moderate infections.",Multiple-pathway
35,6,2,"Antibiotics are important in our fight to stay healthy. Unfortunately, the overprescription of antibiotics has led to bacteria that have become resistant. It is necessary for mankind to come up with new ways of treating bacterial infections besides the use of antibiotics.","Bacteria has been around forever, coexisting with other living things. Some bacteria is good, but some is harmful to humans. Along came antibiotics to help kill off bacteria that make humans sick. Antibiotics are relatively effective but over many decades bacteria have started to become resistant to them and they have become ineffective. We need to find a way for our bodies to naturally fight off bacteria so that we are not reliant on antibiotics.","The article tells about the antibiotics and development.  It indicates that the antibodies are the reason for the sickness.  In or day to daylife, we met a lot of bacteria in whichthe most of the bacteria are harmful for us.   Even some of the bacteria may kill us.  Antibiotics have been used to kill the antibodies like bacteria.    Recently superbug are becoming a hard reality.  They are stronger and harder to kill.","There are two types of bacteria, good and bad. Antibiotics were developed to kill the type of bacteria that make people sick. Over many decades, bacteria has become resistant to some antibiotics. New methods or new antibiotics will be necessary to kill bacteria in the future.",Multiple-pathway
36,1,3,"Through history, most people didn't die of cancer or heart disease, the lifestyle diseases that are common in the Western world today. This is mostly because people didn't live long enough to develop them. They died of injuries -- being gored by an ox, shot on a battlefield, crushed in one of the new factories of the Industrial Revolution -- and most of the time from infection, which followed those injuries.  That changed when antibiotics were discovered. In 1928, Alexander Fleming discovered penicillin, a drug still used today to fight bacterial infections. Suddenly, infections that had been a death sentence became remedied within days. During World War II, this drug treated pneumonia and sepsis, and has been estimated to have saved between 12-15% of Allied Forces lives. We have been living inside the golden epoch of the miracle drugs, and now, we are coming to an end of it.  People are dying of infections again because of a phenomenon called antibiotic resistance, or popularly referred to as “superbugs”. Bacteria compete against each other for resources, for food, by manufacturing lethal compounds that they direct against each other. When we first made antibiotics, we took those compounds into the lab and made our own versions of them, and bacteria responded to our attack the way they always had.  For 70 years, we played a game of leapfrog -- our drug and their resistance, and then another drug, and then resistance again -- and now the game is ending. Bacteria develop resistance so quickly that pharmaceutical companies have decided making antibiotics is not in their best interest, so there are infections moving across the world for which, out of the more than 100 antibiotics available on the market, two drugs might work with side effects, or one drug, or none.  It would be natural to hope that these infections are extraordinary cases, but in fact, in the United States and Europe, 50 thousand people a year die of infections which no drugs can help. A project chartered by the British government known as the Review on Antimicrobial Resistance estimates that the worldwide toll right now is 700 thousand deaths a year. Also, if we can't get this under control by 2050, the worldwide toll will be 10 million deaths a year (more than the current population of New York City).  The scale of antibiotic resistance seems overwhelming, but if you've ever bought a fluorescent light bulb because you were concerned about climate change, you already know what it feels like to take a tiny step to address an overwhelming problem. We could take those kinds of steps for antibiotic use too. We could forgo giving an antibiotic for our kids’ ear infection, if we're not sure it's the right one. And we could promise each other to never again to buy chicken or shrimp or fruit raised with routine antibiotic use. If we did those things, we could slow down the arrival of the post-antibiotic world.","Through history, most people didn't die of cancer or heart disease, the lifestyle diseases that are common in the Western world today. This is mostly because people didn't live long enough to develop them. They died of injuries -- being gored by an ox, shot on a battlefield, crushed in one of the new factories of the Industrial Revolution -- and most of the time from infection, which followed those injuries.  That changed when antibiotics were discovered. In 1928, Alexander Fleming discovered penicillin, a drug still used today to fight bacterial infections. Suddenly, infections that had been a death sentence became remedied within days. During World War II, this drug treated pneumonia and sepsis, and has been estimated to have saved between 12-15% of Allied Forces lives. We have been living inside the golden epoch of the miracle drugs, and now, we are coming to an end of it.  People are dying of infections again because of a phenomenon called antibiotic resistance, or popularly referred to as “superbugs”. Bacteria compete against each other for resources, for food, by manufacturing lethal compounds that they direct against each other. When we first made antibiotics, we took those compounds into the lab and made our own versions of them, and bacteria responded to our attack the way they always had.  For 70 years, we played a game of leapfrog -- our drug and their resistance, and then another drug, and then resistance again -- and now the game is ending. Bacteria develop resistance so quickly that pharmaceutical companies have decided making antibiotics is not in their best interest, so there are infections moving across the world for which, out of the more than 100 antibiotics available on the market, two drugs might work with side effects, or one drug, or none.  It would be natural to hope that these infections are extraordinary cases, but in fact, in the United States and Europe, 50 thousand people a year die of infections which no drugs can help. A project chartered by the British government known as the Review on Antimicrobial Resistance estimates that the worldwide toll right now is 700 thousand deaths a year. Also, if we can't get this under control by 2050, the worldwide toll will be 10 million deaths a year (more than the current population of New York City).  The scale of antibiotic resistance seems overwhelming, but if you've ever bought a fluorescent light bulb because you were concerned about climate change, you already know what it feels like to take a tiny step to address an overwhelming problem. We could take those kinds of steps for antibiotic use too. We could forgo giving an antibiotic for our kids’ ear infection, if we're not sure it's the right one. And we could promise each other to never again to buy chicken or shrimp or fruit raised with routine antibiotic use. If we did those things, we could slow down the arrival of the post-antibiotic world.","Through history, most people didn't die of cancer or heart disease, the lifestyle diseases that are common in the Western world today. This is mostly because people didn't live long enough to develop them. They died of injuries -- being gored by an ox, shot on a battlefield, crushed in one of the new factories of the Industrial Revolution -- and most of the time from infection, which followed those injuries.  That changed when antibiotics were discovered. In 1928, Alexander Fleming discovered penicillin, a drug still used today to fight bacterial infections. Suddenly, infections that had been a death sentence became remedied within days. During World War II, this drug treated pneumonia and sepsis, and has been estimated to have saved between 12-15% of Allied Forces lives. We have been living inside the golden epoch of the miracle drugs, and now, we are coming to an end of it.  People are dying of infections again because of a phenomenon called antibiotic resistance, or popularly referred to as “superbugs”. Bacteria compete against each other for resources, for food, by manufacturing lethal compounds that they direct against each other. When we first made antibiotics, we took those compounds into the lab and made our own versions of them, and bacteria responded to our attack the way they always had.  For 70 years, we played a game of leapfrog -- our drug and their resistance, and then another drug, and then resistance again -- and now the game is ending. Bacteria develop resistance so quickly that pharmaceutical companies have decided making antibiotics is not in their best interest, so there are infections moving across the world for which, out of the more than 100 antibiotics available on the market, two drugs might work with side effects, or one drug, or none.  It would be natural to hope that these infections are extraordinary cases, but in fact, in the United States and Europe, 50 thousand people a year die of infections which no drugs can help. A project chartered by the British government known as the Review on Antimicrobial Resistance estimates that the worldwide toll right now is 700 thousand deaths a year. Also, if we can't get this under control by 2050, the worldwide toll will be 10 million deaths a year (more than the current population of New York City).  The scale of antibiotic resistance seems overwhelming, but if you've ever bought a fluorescent light bulb because you were concerned about climate change, you already know what it feels like to take a tiny step to address an overwhelming problem. We could take those kinds of steps for antibiotic use too. We could forgo giving an antibiotic for our kids’ ear infection, if we're not sure it's the right one. And we could promise each other to never again to buy chicken or shrimp or fruit raised with routine antibiotic use. If we did those things, we could slow down the arrival of the post-antibiotic world.","For 70 years, antibiotic drugs have saved millions of lives throughout the world. However, the game is now changing. Bacteria are developing resistance quickly against antibiotics. Pharmaceutical companies are finding it difficult to keep up with mutating bacteria. Out of hundreds of antibiotics, two, one, or none works. The way to get around this is to avoid using antibiotics for minor infections from an early stage of life.",Multiple-pathway
37,1,3,"Through history, most people didn't die of cancer or heart disease, the lifestyle diseases that are common in the Western world today. This is mostly because people didn't live long enough to develop them. They died of injuries -- being gored by an ox, shot on a battlefield, crushed in one of the new factories of the Industrial Revolution -- and most of the time from infection, which followed those injuries.  That changed when antibiotics were discovered. In 1928, Alexander Fleming discovered penicillin, a drug still used today to fight bacterial infections. Suddenly, infections that had been a death sentence became remedied within days. During World War II, this drug treated pneumonia and sepsis, and has been estimated to have saved between 12-15% of Allied Forces lives. We have been living inside the golden epoch of the miracle drugs, and now, we are coming to an end of it.  People are dying of infections again because of a phenomenon called antibiotic resistance, or popularly referred to as “superbugs”. Bacteria compete against each other for resources, for food, by manufacturing lethal compounds that they direct against each other. When we first made antibiotics, we took those compounds into the lab and made our own versions of them, and bacteria responded to our attack the way they always had.  For 70 years, we played a game of leapfrog -- our drug and their resistance, and then another drug, and then resistance again -- and now the game is ending. Bacteria develop resistance so quickly that pharmaceutical companies have decided making antibiotics is not in their best interest, so there are infections moving across the world for which, out of the more than 100 antibiotics available on the market, two drugs might work with side effects, or one drug, or none.  It would be natural to hope that these infections are extraordinary cases, but in fact, in the United States and Europe, 50 thousand people a year die of infections which no drugs can help. A project chartered by the British government known as the Review on Antimicrobial Resistance estimates that the worldwide toll right now is 700 thousand deaths a year. Also, if we can't get this under control by 2050, the worldwide toll will be 10 million deaths a year (more than the current population of New York City).  The scale of antibiotic resistance seems overwhelming, but if you've ever bought a fluorescent light bulb because you were concerned about climate change, you already know what it feels like to take a tiny step to address an overwhelming problem. We could take those kinds of steps for antibiotic use too. We could forgo giving an antibiotic for our kids’ ear infection, if we're not sure it's the right one. And we could promise each other to never again to buy chicken or shrimp or fruit raised with routine antibiotic use. If we did those things, we could slow down the arrival of the post-antibiotic world.","Through history, most people didn't die of cancer or heart disease, the lifestyle diseases that are common in the Western world today. This is mostly because people didn't live long enough to develop them. They died of injuries -- being gored by an ox, shot on a battlefield, crushed in one of the new factories of the Industrial Revolution -- and most of the time from infection, which followed those injuries.  That changed when antibiotics were discovered. In 1928, Alexander Fleming discovered penicillin, a drug still used today to fight bacterial infections. Suddenly, infections that had been a death sentence became remedied within days. During World War II, this drug treated pneumonia and sepsis, and has been estimated to have saved between 12-15% of Allied Forces lives. We have been living inside the golden epoch of the miracle drugs, and now, we are coming to an end of it.  People are dying of infections again because of a phenomenon called antibiotic resistance, or popularly referred to as “superbugs”. Bacteria compete against each other for resources, for food, by manufacturing lethal compounds that they direct against each other. When we first made antibiotics, we took those compounds into the lab and made our own versions of them, and bacteria responded to our attack the way they always had.  For 70 years, we played a game of leapfrog -- our drug and their resistance, and then another drug, and then resistance again -- and now the game is ending. Bacteria develop resistance so quickly that pharmaceutical companies have decided making antibiotics is not in their best interest, so there are infections moving across the world for which, out of the more than 100 antibiotics available on the market, two drugs might work with side effects, or one drug, or none.  It would be natural to hope that these infections are extraordinary cases, but in fact, in the United States and Europe, 50 thousand people a year die of infections which no drugs can help. A project chartered by the British government known as the Review on Antimicrobial Resistance estimates that the worldwide toll right now is 700 thousand deaths a year. Also, if we can't get this under control by 2050, the worldwide toll will be 10 million deaths a year (more than the current population of New York City).  The scale of antibiotic resistance seems overwhelming, but if you've ever bought a fluorescent light bulb because you were concerned about climate change, you already know what it feels like to take a tiny step to address an overwhelming problem. We could take those kinds of steps for antibiotic use too. We could forgo giving an antibiotic for our kids’ ear infection, if we're not sure it's the right one. And we could promise each other to never again to buy chicken or shrimp or fruit raised with routine antibiotic use. If we did those things, we could slow down the arrival of the post-antibiotic world.","Through history, most people didn't die of cancer or heart disease, the lifestyle diseases that are common in the Western world today. This is mostly because people didn't live long enough to develop them. They died of injuries -- being gored by an ox, shot on a battlefield, crushed in one of the new factories of the Industrial Revolution -- and most of the time from infection, which followed those injuries.  That changed when antibiotics were discovered. In 1928, Alexander Fleming discovered penicillin, a drug still used today to fight bacterial infections. Suddenly, infections that had been a death sentence became remedied within days. During World War II, this drug treated pneumonia and sepsis, and has been estimated to have saved between 12-15% of Allied Forces lives. We have been living inside the golden epoch of the miracle drugs, and now, we are coming to an end of it.  People are dying of infections again because of a phenomenon called antibiotic resistance, or popularly referred to as “superbugs”. Bacteria compete against each other for resources, for food, by manufacturing lethal compounds that they direct against each other. When we first made antibiotics, we took those compounds into the lab and made our own versions of them, and bacteria responded to our attack the way they always had.  For 70 years, we played a game of leapfrog -- our drug and their resistance, and then another drug, and then resistance again -- and now the game is ending. Bacteria develop resistance so quickly that pharmaceutical companies have decided making antibiotics is not in their best interest, so there are infections moving across the world for which, out of the more than 100 antibiotics available on the market, two drugs might work with side effects, or one drug, or none.  It would be natural to hope that these infections are extraordinary cases, but in fact, in the United States and Europe, 50 thousand people a year die of infections which no drugs can help. A project chartered by the British government known as the Review on Antimicrobial Resistance estimates that the worldwide toll right now is 700 thousand deaths a year. Also, if we can't get this under control by 2050, the worldwide toll will be 10 million deaths a year (more than the current population of New York City).  The scale of antibiotic resistance seems overwhelming, but if you've ever bought a fluorescent light bulb because you were concerned about climate change, you already know what it feels like to take a tiny step to address an overwhelming problem. We could take those kinds of steps for antibiotic use too. We could forgo giving an antibiotic for our kids’ ear infection, if we're not sure it's the right one. And we could promise each other to never again to buy chicken or shrimp or fruit raised with routine antibiotic use. If we did those things, we could slow down the arrival of the post-antibiotic world.","Back in the history days, people didn't die from cancer or heart disease as much as they do these days. People mostly died from freak accidents and battlefield wounds back then. As a result, Alexander Fleming create the medicine Penicillin in order to treat infections and sepsis. The medicine worked for quite some time until the bacteria started to resist it. After that, the medicine makers found themselves having to keep redoing the medicine over and over again. Finally, the medicine makers just said oh well we will just have to have these medicines but they will have side effects. Furthermore, it would be a great idea if people could ween themselves off of the antibiotic-raised chicken and fruits and veggies. ",Multiple-pathway
